term,date,slot,room,teacher,subjectcode,sessionnumber,studentgroup,,,Note,SlotType,Type
SP22,1/13/2022,4,1,tientt24,5032,1,GBH1101,,,,,1
SP22,1/13/2022,5,1,tientt24,5032,2,GBH1101,,,,,1
SP22,1/13/2022,6,1,tientt24,5032,3,GBH1101,,,,,1
SP22,1/15/2022,4,1,tientt24,5032,4,GBH1101,,,,,1
SP22,1/15/2022,5,1,tientt24,5032,5,GBH1101,,,,,1
SP22,1/15/2022,6,1,tientt24,5032,6,GBH1101,,,,,1
SP22,1/20/2022,4,1,tientt24,5032,7,GBH1101,,,,,1
SP22,1/20/2022,5,1,tientt24,5032,8,GBH1101,,,,,1
SP22,1/20/2022,6,1,tientt24,5032,9,GBH1101,,,,,1
SP22,1/22/2022,4,1,tientt24,5032,10,GBH1101,,,,,1
SP22,1/22/2022,5,1,tientt24,5032,11,GBH1101,,,,,1
SP22,1/22/2022,6,1,tientt24,5032,12,GBH1101,,,,,1
SP22,2/10/2022,4,1,tientt24,5032,13,GBH1101,,,,,1
SP22,2/10/2022,5,1,tientt24,5032,14,GBH1101,,,,,1
SP22,2/10/2022,6,1,tientt24,5032,15,GBH1101,,,,,1
SP22,2/12/2022,4,1,tientt24,5032,16,GBH1101,,,,,1
SP22,2/12/2022,5,1,tientt24,5032,17,GBH1101,,,,,1
SP22,2/12/2022,6,1,tientt24,5032,18,GBH1101,,,,,1
SP22,2/17/2022,4,1,tientt24,5032,19,GBH1101,,,,,1
SP22,2/17/2022,5,1,tientt24,5032,20,GBH1101,,,,,1
SP22,2/17/2022,6,1,tientt24,5032,21,GBH1101,,,,,1
SP22,2/19/2022,4,1,tientt24,5032,22,GBH1101,,,,,1
SP22,2/19/2022,5,1,tientt24,5032,23,GBH1101,,,,,1
SP22,2/19/2022,6,1,tientt24,5032,24,GBH1101,,,,,1
SP22,2/24/2022,4,1,tientt24,5032,25,GBH1101,,,,,1
SP22,2/24/2022,5,1,tientt24,5032,26,GBH1101,,,,,1
SP22,2/24/2022,6,1,tientt24,5032,27,GBH1101,,,,,1
SP22,2/26/2022,4,1,tientt24,5032,28,GBH1101,,,,,1
SP22,2/26/2022,5,1,tientt24,5032,29,GBH1101,,,,,1
SP22,2/26/2022,6,1,tientt24,5032,30,GBH1101,,,,,1
